"Municipio";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Sapucaia";0.0584744311492604;0.174666074448274;0.766862170087977;0.393509127789047;0.9051;0.125420827389444;0.75737517831669;0.114754098360656;0.137693729734239;0;0.808354968137833;0.675;0.059082231866815;0.152386974391401;0.244108652635366;0.0314804821010973;0.0223061701744918;0.0752639087018545
"Saquarema";0.00745416767982388;0.145957247920419;0.846588584399757;0.200734067400734;0.9422;0.275210819839966;0.949106878249859;0.0983606557377049;0.0857316022041662;0.0424502955400322;0.267278371222496;0.709;0.0409480467535476;0.0355859709153122;0.25266072510167;0.0556372761097171;0.0253213868328788;0.0592316189347199
"Seropédica";0.00938552652384535;0.287760123431353;0.702855547942252;0.15454714524828;0.9445;0.145013173713964;0.822206021538383;0.442622950819672;0.0512123627832027;0.0333154218162278;0.643192488262911;0.713;0.0144718951511121;0.0906625965164302;0.249041197575158;0.0407027093900779;0.0111724934036939;0.0775842222392756
"Silva Jardim";0.0529225945670291;0.0915851752517931;0.855492230181178;0.144415917843389;0.8788;0.197667338048621;0.75511733570659;0.0983606557377049;0.0676691783394977;0.0908113917248791;0.433152936460212;0.654;0.0109044021257861;0.048314981648315;0.0845489729086037;0.0285799345043168;0.00655444659615671;0.118319359220572
"Sumidouro";0.338081843255306;0.0669671497425606;0.594951007002133;0.166368515205725;0.8538;0.258926174496644;0.36510067114094;0.131147540983607;0.0626499371288464;0.100483610961848;0.403874092009685;0.611;0.0219573773822444;0.0280504908835905;0.111154829824907;0.0180995475113122;0.0106445890005914;0.120201342281879
"Tanguá";0.0106593578700078;0.189848081440877;0.799492560689115;0.186454183266932;0.9183;0.140960562280359;0.892489912794481;0.0819672131147541;0.0230306980124639;0.366469639978506;0.291982209400168;0.654;0.0125245739171163;0.140598846940673;0.141408916933899;0.0169649322437157;0.00217436322219921;0.0983339841207862
"Teresópolis";0.0482767520923021;0.169601186520663;0.782122061387035;0.24816844179031;0.9403;0.373456450844601;0.892888986601199;0.131147540983607;0.129464455014073;0.112305212251478;0.676885159646645;0.73;0.0344381105852339;0.230769230769231;0.349242396038867;0.0650571460481739;0.140995128481648;0.0395979138421702
"Trajano de Morais";0.130431199896408;0.0543149419063203;0.815253858197271;0.111206896551724;0.8668;0.169307026921955;0.464573816697444;0;0.0295096186848497;0.198280494357872;0.399198167239404;0.667;0.00476909584445774;0.136089392353629;0.117575388364301;0.0411209259823332;0.00578738958269875;0.0929147633394888
"Três Rios";0.00531173155421018;0.310447706806473;0.68424121234758;0.26453844806446;0.9489;0.28973809277818;0.970722698625891;0.0655737704918033;0.260315190395847;0.206878022568512;0.839655624508347;0.725;0.0543257275214034;0.170385395537525;0.35288509368264;0.0530591941634886;0.128214700514352;0.0598331439198264
"Valença";0.0223943859709289;0.261394654969344;0.716210959059727;0.213533965382274;0.9436;0.201188703144356;0.866110824993388;0.0491803278688525;0.152688138863769;0.244492208490059;0.731078825954648;0.738;0.0229817155038669;0.100885430641266;0.280925155925156;0.0441354816354816;0.0618191250216151;0.0647523071141239
"Varre-Sai";0.152909054908867;0.0537312810679561;0.793349242905824;0.129032258064516;0.8942;0.177097625329815;0.611081794195251;0.0819672131147541;0.106740248769494;0.218162278344976;0.698569856985699;0.659;0.00474394563672751;0.048936170212766;0.133966244725738;0.0158227848101266;0.032258064516129;0.102691292875989
